number,value,duration,params_freeze,params_lr,params_optimizer,params_train_batch_size,params_weight_decay,state
12,0.8493827160493828,3.53,False,0.0001664800607323698,<class 'torch.optim.adam.Adam'>,25,0.0003334005212729032,COMPLETE
8,0.8444444444444444,3.48,False,0.0002045003549218837,<class 'torch.optim.adam.Adam'>,30,0.000226580435038192,COMPLETE
6,0.8419753086419753,3.55,False,0.00039068463281794987,<class 'torch.optim.adam.Adam'>,25,0.0003273939421562194,COMPLETE
4,0.8395061728395061,3.83,False,0.0004932348828402127,<class 'torch.optim.adam.Adam'>,21,0.0002115929209902887,COMPLETE
0,0.8345679012345679,3.72,False,0.00046093442197510013,<class 'torch.optim.adam.Adam'>,29,2.6664166593537665e-05,COMPLETE
3,0.8345679012345679,4.08,False,0.00028411717871133264,<class 'torch.optim.adam.Adam'>,20,0.00019727682380711484,COMPLETE
9,0.8345679012345679,3.65,False,0.0003254655437112865,<class 'torch.optim.adam.Adam'>,19,5.4804798574352085e-05,COMPLETE
11,0.8345679012345679,3.53,False,0.00038501905724703134,<class 'torch.optim.adam.Adam'>,25,0.0002813086096393742,COMPLETE
13,0.8320987654320988,3.5,False,0.00016131992116454798,<class 'torch.optim.adam.Adam'>,27,0.00017283946289241018,COMPLETE
2,0.8246913580246914,3.63,False,0.0002513660046304529,<class 'torch.optim.adam.Adam'>,30,0.00011657900225659356,COMPLETE
14,0.8222222222222222,3.55,False,0.00012898822521087858,<class 'torch.optim.adam.Adam'>,23,0.0004668879130513841,COMPLETE
1,0.8049382716049382,3.58,False,4.624844859067238e-05,<class 'torch.optim.adam.Adam'>,28,0.0003663948066202714,COMPLETE
7,0.8049382716049382,1.9,False,0.00021938146586512986,<class 'torch.optim.adam.Adam'>,30,0.00044055000962464597,PRUNED
15,0.8049382716049382,1.9,False,0.00019338458287107826,<class 'torch.optim.adam.Adam'>,27,0.00024282045934680323,PRUNED
10,0.8,2.03,False,0.0001340408713296067,<class 'torch.optim.adam.Adam'>,16,0.00029719037953257867,PRUNED
5,0.7753086419753087,1.92,False,2.0184832633158515e-05,<class 'torch.optim.adam.Adam'>,31,0.0004045089492121137,PRUNED
