number,value,duration,params_freeze,params_lr,params_optimizer,params_train_batch_size,params_weight_decay
12,0.9864221057646498,5.8,False,8.13459607879119e-05,<class 'torch.optim.adam.Adam'>,25,3.1504420379592e-05
13,0.9861838970938542,5.77,False,8.073764972488576e-05,<class 'torch.optim.adam.Adam'>,26,4.171136466410456e-05
17,0.9849928537398761,6.0,False,8.908058975366848e-05,<class 'torch.optim.adam.Adam'>,19,2.3520770210290916e-05
15,0.9845164363982849,5.72,False,9.952437602644339e-05,<class 'torch.optim.adam.Adam'>,28,4.979834368692518e-05
6,0.9840400190566937,5.65,False,8.84285448403432e-05,<class 'torch.optim.adam.Adam'>,30,5.555589630918449e-05
4,0.98261076703192,5.88,False,5.58121738176885e-05,<class 'torch.optim.adam.Adam'>,22,7.782330194402377e-05
8,0.98261076703192,5.93,False,6.490441978140195e-05,<class 'torch.optim.adam.Adam'>,21,5.369278341654726e-05
9,0.9802286803239638,5.75,False,5.8953106189011864e-05,<class 'torch.optim.adam.Adam'>,29,9.746519737655251e-05
18,0.9792758456407813,5.82,False,4.201746832376787e-05,<class 'torch.optim.adam.Adam'>,25,1.1906076304221978e-05
3,0.9792758456407813,6.0,False,7.020166443248283e-05,<class 'torch.optim.adam.Adam'>,19,8.329282152866282e-05
19,0.9785612196283945,5.67,False,4.768970426660377e-05,<class 'torch.optim.adam.Adam'>,30,4.2889745603952225e-05
16,0.9785612196283945,5.92,False,7.63832618079764e-05,<class 'torch.optim.adam.Adam'>,21,6.581073119403038e-05
14,0.9785612196283945,5.83,False,3.965308488923329e-05,<class 'torch.optim.adam.Adam'>,23,2.4351278856498183e-05
10,0.9666507860886137,6.25,False,3.301666295812669e-05,<class 'torch.optim.adam.Adam'>,16,1.0182414654340845e-05
7,0.8716730038022814,5.77,False,7.63683637724201e-05,<class 'torch.optim.adam.Adam'>,27,2.1829626818739092e-05
0,0.8650190114068441,5.95,False,8.610124839730442e-05,<class 'torch.optim.adam.Adam'>,23,4.266431680133642e-05
1,0.8631178707224335,5.78,False,6.53525951599387e-05,<class 'torch.optim.adam.Adam'>,32,3.690662152751249e-05
5,0.8631178707224335,5.7,False,5.9554261078015156e-05,<class 'torch.optim.adam.Adam'>,32,8.247519746875738e-05
11,0.8621673003802282,5.78,False,9.783431353929327e-05,<class 'torch.optim.adam.Adam'>,27,1.924946511183774e-05
2,0.8612167300380228,5.85,False,2.4241275161110948e-05,<class 'torch.optim.adam.Adam'>,24,8.487528730176982e-05
